"ConfigurationId","TargetModule","RandomSeed","AlgorithmIterations","TotalTime","Coverage","Size","Length","FailingSize","FailingLength","PassingSize","PassingLength"
"Seed_Prob_0_1","pytutils.files","1615561481446643517","184","124540515756","0.2413793103448276","10","128","8","102","2","26"
"Seed_Prob_0_7","pytutils.pretty","1615562242347216843","191","121988129175","0.6470588235294118","8","41","8","41","0","0"
"Seed_Prob_0_6","pytutils.rand","1615562103289707855","0","6525542623","1.0","9","22","9","22","0","0"
"Seed_Prob_0_8","pytutils.files","1615562338715295744","174","121604367973","0.3103448275862069","8","68","8","68","0","0"
"Seed_Prob_0_0","pytutils.pretty","1615561361772333439","147","124106666361","0.6470588235294118","10","59","10","59","0","0"
"Seed_Prob_0_6","pytutils.lazy.lazy_regex","1615562097166469929","180","121379717653","0.6041666666666666","10","83","10","83","0","0"
"Seed_Prob_0_4","pytutils.trees","1615561857992363093","198","122329943353","0.75","8","70","8","70","0","0"
"Seed_Prob_0_0","pytutils.lazy.simple_import","1615561368202939917","205","122113788859","0.6","6","121","0","0","6","121"
"Seed_Prob_0_6","pytutils.mappings","1615562068656574865","93","122670979673","0.576","19","332","17","295","2","37"
"Seed_Prob_0_4","pytutils.urls","1615561851125375400","226","121855856522","0.75","10","56","10","56","0","0"
"Seed_Prob_0_1","pytutils.urls","1615561510714098070","261","121843049708","0.75","5","27","5","27","0","0"
"Seed_Prob_0_4","pytutils.mappings","1615561835866189359","106","122563612586","0.616","20","298","18","271","2","27"
"Seed_Prob_0_0","pytutils.props","1615561357867359927","197","121475712485","0.6470588235294118","8","77","8","77","0","0"
"Seed_Prob_0_2","pytutils.memo","1615561606472920849","261","121708206496","0.25","9","43","9","43","0","0"
"Seed_Prob_0_9","pytutils.path","1615562458212911928","210","121592789954","0.25","5","106","0","0","5","106"
"Seed_Prob_0_8","pytutils.lazy.lazy_import","1615562344345472396","134","123632354292","0.43103448275862066","13","114","13","114","0","0"
"Seed_Prob_0_5","pytutils.memo","1615561975260394099","282","121685889751","0.25","8","51","8","51","0","0"
"Seed_Prob_0_8","pytutils.tlds","1615562344348823683","6","8762253237","1.0","7","47","6","44","1","3"
"Seed_Prob_0_5","pytutils.log","1615561942537346628","212","121212465719","0.7941176470588235","7","45","7","45","0","0"
"Seed_Prob_0_4","pytutils.lazy.lazy_regex","1615561854488080584","162","121964930402","0.6041666666666666","11","105","11","105","0","0"
"Seed_Prob_0_0","pytutils.debug","1615561314441758422","0","7375342786","1.0","7","114","0","0","7","114"
"Seed_Prob_0_9","pytutils.files","1615562425630093810","212","122905251683","0.3448275862068966","6","60","6","60","0","0"
"Seed_Prob_0_4","pytutils.rand","1615561850247259272","0","4332164355","1.0","2","5","2","5","0","0"
